Date/Time Completed,Sensor Serial Number,Reference Distance,Avg Offset,Std. Dev,Counts
1/8/2018 20:56,Y13    DAA  NILE 00A5G105011V030,2.227,0.817,0.001,10
1/9/2018 20:56,Y13    DAA  NILE 00A5G105011V030,2.227,0.819,0,10
1/10/2018 20:56,Y13    DAA  NILE 00A5G105011V030,2.227,0.821,0,10
1/11/2018 20:56,Y13    DAA  NILE 00A5G105011V030,2.227,0.82,0,10
1/12/2018 20:56,Y13    DAA  NILE 00A5G105011V030,2.227,0.82,0,10
1/12/2018 8:58:08 PM,Y13    DAA  NILE 00A5G105011V030,2.227000,0.819,0.000,10
1/12/2018 9:00:34 PM,Y13    DAA  NILE 00A5G105011V030,2.227000,0.822,0.000,10
1/12/2018 9:02:12 PM,Y13    DAA  NILE 00A5G105011V030,2.227000,0.820,0.001,10
1/12/2018 9:02:49 PM,Y13    DAA  NILE 00A5G105011V030,2.227000,0.820,0.000,10
11/15/2018 20:11:40,,2.227000,1.479,0.000,10
11/15/2018 20:14:20,,2.227000,1.478,0.000,10
11/15/2018 20:16:21,,2.227000,1.479,0.000,10
11/15/2018 20:22:33,,2.227000,1.479,0.000,47
11/15/2018 20:22:33,,2.227000,1.479,0.000,47
11/15/2018 20:23:37,,2.227000,NaN,-0.000,0
11/15/2018 20:23:37,,2.227000,NaN,-0.000,0
11/15/2018 20:23:51,,2.227000,NaN,-0.000,0
11/15/2018 20:23:51,,2.227000,NaN,-0.000,0
11/15/2018 20:33:46,,2.227000,1.512,0.001,115
11/15/2018 20:33:46,,2.227000,1.512,0.001,116
11/15/2018 20:34:11,,2.227000,NaN,-0.000,0
11/15/2018 20:34:11,,2.227000,NaN,-0.000,0
11/15/2018 20:34:46,,2.227000,NaN,-0.000,0
11/15/2018 20:34:46,,2.227000,NaN,-0.000,0
11/16/2018 13:20:56,,2.227000,NaN,-0.000,0
11/16/2018 13:20:56,,2.227000,NaN,-0.000,0
11/16/2018 13:24:22,,2.227000,NaN,-0.000,0
11/16/2018 13:24:22,,2.227000,NaN,-0.000,0
11/16/2018 13:24:49,,2.227000,NaN,-0.000,0
11/16/2018 13:24:49,,2.227000,NaN,-0.000,0
11/16/2018 13:26:32,,2.227000,-97.763,NaN,1
11/16/2018 13:26:32,,2.227000,-97.763,NaN,1
11/16/2018 13:26:37,,2.227000,NaN,-0.000,0
11/16/2018 13:26:37,,2.227000,NaN,-0.000,0
11/16/2018 13:26:43,,2.227000,NaN,-0.000,0
11/16/2018 13:26:43,,2.227000,NaN,-0.000,0
11/16/2018 13:27:17,,2.227000,1.447,0.000,11
11/16/2018 13:27:17,,2.227000,1.447,0.000,11
11/16/2018 13:27:29,,2.227000,NaN,-0.000,0
11/16/2018 13:27:29,,2.227000,NaN,-0.000,0
11/16/2018 13:27:39,,2.227000,NaN,-0.000,0
11/16/2018 13:27:40,,2.227000,NaN,-0.000,0
11/16/2018 13:28:45,,2.227000,1.447,0.000,11
11/16/2018 13:32:24,,2.227000,1.447,0.000,12
11/16/2018 13:35:30,,2.227000,1.447,0.000,12
11/16/2018 13:38:15,,2.227000,1.447,0.000,12
11/16/2018 13:38:20,,2.227000,1.447,0.000,6
11/16/2018 13:38:29,,2.227000,NaN,-0.000,0
11/16/2018 13:38:34,,2.227000,1.447,0.000,6
11/16/2018 13:39:10,,2.227000,1.447,0.000,36
11/16/2018 13:43:09,,2.227000,1.447,0.000,36
11/16/2018 13:43:24,,2.227000,1.447,0.000,29
11/16/2018 13:43:56,,2.227000,NaN,-0.000,0
11/16/2018 13:44:11,,2.227000,1.447,0.000,26
11/16/2018 13:44:27,,2.227000,NaN,-0.000,0
11/16/2018 13:44:43,,2.227000,1.447,0.000,29
11/16/2018 13:45:06,,2.227000,NaN,-0.000,0
11/16/2018 13:45:21,,2.227000,1.447,0.000,28
11/16/2018 14:06:03,,2.227000,1.447,0.000,36
11/16/2018 14:07:44,,2.227000,1.447,0.000,36
11/16/2018 14:08:11,,2.227000,NaN,-0.000,0
11/16/2018 14:08:26,,2.227000,1.447,0.000,17
11/16/2018 14:12:40,,2.227000,1.447,0.000,36
11/16/2018 14:16:46,,2.227000,1.447,0.000,36
11/16/2018 14:18:11,,2.227000,1.447,0.000,36
11/16/2018 14:24:02,,2.227000,1.455,0.000,36
11/16/2018 14:24:58,,2.227000,1.455,0.000,36
11/16/2018 19:09:52,,2.227000,NaN,-0.000,0
11/16/2018 19:10:07,,2.227000,1.028,0.001,4
11/16/2018 19:10:40,,2.227000,NaN,-0.000,0
11/16/2018 19:10:56,,2.227000,1.028,0.001,21
11/16/2018 19:11:11,,2.227000,1.028,0.001,18
11/16/2018 19:11:48,,2.227000,NaN,-0.000,0
11/16/2018 19:12:04,,2.227000,1.027,0.000,14
11/16/2018 20:31:26,,2.227000,NaN,-0.000,0
11/16/2018 20:34:55,Y13   YSI   NILE 00AS#000000V034,2.227000,1.026,0.001,34
11/16/2018 20:35:10,Y13   YSI   NILE 00AS#000000V034,2.227000,1.027,0.001,10
11/16/2018 20:35:31,Y13   YSI   NILE 00AS#000000V034,2.227000,NaN,-0.000,0
11/16/2018 20:35:46,Y13   YSI   NILE 00AS#000000V034,2.227000,1.026,0.001,13
11/16/2018 20:36:02,Y13   YSI   NILE 00AS#000000V034,2.227000,1.026,0.001,24
12/10/2018 16:15:15,,0.000000,NaN,-0.000,0
12/10/2018 20:23:14,,0.000000,0.000,-0.000,0
